ANNO;TRIMESTRE;ID_EMPRESA;EMPRESA;ID_SERVICIO;SERVICIO;ID_CONCEPTO;CONCEPTO;INGRESOS
2012;1;900022836;@NY PHONE S A ESP;101;Acceso fijo a Internet;0;NA;46053095
2012;1;830016046;AVANTEL S.A.S;101;Acceso fijo a Internet;0;NA;198129006
2012;1;830119051;AXESAT S.A.;101;Acceso fijo a Internet;0;NA;2534730983
2012;1;900258177;BRASIL TELECOM DE COLOMBIA EMPRESA UNIPERSONAL;101;Acceso fijo a Internet;0;NA;208241534
2012;1;900047715;CABLE & TV YOPAL SAS;101;Acceso fijo a Internet;0;NA;57420000
2012;1;811009414;CABLE BELLO TELEVISIÓN LTDA.;101;Acceso fijo a Internet;0;NA;448051185
2012;1;805009542;CABLE VISION E.U.;101;Acceso fijo a Internet;0;NA;176770308
2012;1;900209693;CALDAS DATA COMPANY LTDA;101;Acceso fijo a Internet;0;NA;24157000
2012;1;817001193;CAUCATEL S.A. E.S.P.;101;Acceso fijo a Internet;0;NA;1104331
2012;1;816008859;COCOM S.A.S;101;Acceso fijo a Internet;0;NA;36093333
2012;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. ESP;101;Acceso fijo a Internet;0;NA;94349921753
2012;1;900053251;CONSULNETWORKS S.A. E.S.P.;101;Acceso fijo a Internet;0;NA;591209000
2012;1;900306608;CONSULTORES EN TECNOLOGIAS DE INFORMACION SAS;101;Acceso fijo a Internet;0;NA;164959000
2012;1;811003209;CORPORACION INTERUNIVERSITARIA DE SERVICIOS CIS;101;Acceso fijo a Internet;0;NA;518767235
2012;1;830115993;CORPORACION POLITECNICA NACIONAL DE COLOMBIA;101;Acceso fijo a Internet;0;NA;815951474
2012;1;819003851;DIALNET DE COLOMBIA S.A. E.S.P.;101;Acceso fijo a Internet;0;NA;608764977
2012;1;890905065;EDATEL S.A. E.S.P.;101;Acceso fijo a Internet;0;NA;19760283575
2012;1;844004576;EMPRESA DE ENERGIA DE CASANARE S.A. E.S.P.;101;Acceso fijo a Internet;0;NA;246877000
2012;1;800135729;EMPRESA DE RECURSOS TECNOLOGICOS S.A E.S.P.;101;Acceso fijo a Internet;0;NA;1768925981
2012;1;807008068;EMPRESA DE SERVICIOS INALAMBRICOS Y TELECOMUNICACIONES - EMSITEL LTDA.;101;Acceso fijo a Internet;0;NA;110277505
2012;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.;101;Acceso fijo a Internet;0;NA;82657611472
2012;1;890201210;EMPRESA DE TELECOMUNICACIONES DE BUCARAMANGA S.A. E.S.P. TELEBUCARAMANGA;101;Acceso fijo a Internet;0;NA;8,219e+09
2012;1;860062823;EMPRESA DE TELECOMUNICACIONES DE COLOMBIA S.A. - INFONET ENTERPRISE;101;Acceso fijo a Internet;0;NA;5935671
2012;1;844002048;EMPRESA DE TELECOMUNICACIONES DE LA ORINOQUIA S.A. E.S.P.;101;Acceso fijo a Internet;0;NA;4569
2012;1;816002018;EMPRESA DE TELECOMUNICACIONES DE PEREIRA S.A. E.S..P.;101;Acceso fijo a Internet;0;NA;6745961197
2012;1;891502163;EMPRESA DE TELECOMUNICACIONES DE POPAYAN S.A EMTEL E.S.P;101;Acceso fijo a Internet;0;NA;975322325
2012;1;890399003;EMPRESAS MUNICIPALES DE CALI E.I.C.E E.S.P;101;Acceso fijo a Internet;0;NA;11408028375
2012;1;830502580;FUTURE SOLUTIONS DEVELOPMENT SAS;101;Acceso fijo a Internet;0;NA;42887627
2012;1;830062000;GILAT COLOMBIA S.A. ESP;101;Acceso fijo a Internet;0;NA;953447478
2012;1;830104796;GILAT NETWORKS COLOMBIA S.A. ESP;101;Acceso fijo a Internet;0;NA;0
2012;1;830105806;GILAT SATELLITE NETWORKS COLOMBIA S.A. ESP;101;Acceso fijo a Internet;0;NA;0
2012;1;802008950;GLOBAL T.V. TELECOMUNICACIONES S.A.;101;Acceso fijo a Internet;0;NA;1097942291
2012;1;800132211;HV TELEVISION SAS;101;Acceso fijo a Internet;0;NA;175848000
2012;1;830058677;IFX NETWORKS COLOMBIA LTDA;101;Acceso fijo a Internet;0;NA;6228271550
2012;1;811021654;INTERNEXA S.A E.S.P.;101;Acceso fijo a Internet;0;NA;5642460839
2012;1;900447344;JJMMELECTRONICS S.A.S.;101;Acceso fijo a Internet;0;NA;3818447
2012;1;800136835;LEVEL 3 COLOMBIA S.A.;101;Acceso fijo a Internet;0;NA;628315920
2012;1;819006966;MEDIA COMMERCE PARTNERS S.A;101;Acceso fijo a Internet;0;NA;6719025000
2012;1;830030718;MERCANET;101;Acceso fijo a Internet;0;NA;1069972928
2012;1;800229393;METROTEL REDES S.A;101;Acceso fijo a Internet;0;NA;7961802557
2012;1;830064425;RED UNO S.A.;101;Acceso fijo a Internet;0;NA;21430000
2012;1;830120215;S3 WIRELESS COLOMBIA S.A.;101;Acceso fijo a Internet;0;NA;1200711614
2012;1;804003326;SISTEMAS Y TELECOMUNICACIONES DEL ORIENTE SAS;101;Acceso fijo a Internet;0;NA;34490442
2012;1;900373099;SOL CABLE VISIÓN SAS E.S.P.;101;Acceso fijo a Internet;0;NA;297573127
2012;1;830129954;SOLUCIONES NET LTDA;101;Acceso fijo a Internet;0;NA;107316152
2012;1;830105909;SPRINT INTERNATIONAL COLOMBIA LTDA.;101;Acceso fijo a Internet;0;NA;360267729
2012;1;830036103;SUPERCABLE TELECOMUNICACIONES S.A.;101;Acceso fijo a Internet;0;NA;926107914
2012;1;900232917;TECNOLOGIA, INFORMACION Y COMUNICACIONES LIMITADA;101;Acceso fijo a Internet;0;NA;9043573
2012;1;830140108;TELMEX TELECOMUNICACIONES S.A. ESP;101;Acceso fijo a Internet;0;NA;129047296197
2012;1;900379268;TICLINE S.A.S.;101;Acceso fijo a Internet;0;NA;0
2012;1;900092385;UNE EPM TELECOMUNICACIONES S.A. E.S.P. - UNE EPM TELCO S.A.;101;Acceso fijo a Internet;0;NA;127965217079
2012;1;900292948;UNIMOS EMPRESA MINICIPAL DE TELECOMUNICACIONES DE IPIALES S.A. E.S.P.;101;Acceso fijo a Internet;0;NA;97146565
2012;1;800224288;UNITEL S.A. EMPRESA DE SERVICIOS PUBLICOS, UNITEL.S.A. E.S.P.;101;Acceso fijo a Internet;0;NA;1061649776
